State,Agency type,Agency name,"Race/
Ethnicity/
Ancestry",Religion,"Sexual
orientation",Disability,Gender,"Gender
identity","1st
quarter","2nd
quarter","3rd
quarter","4th
quarter",
,,Lodi,1,1,0,0,0,0,0,0,1,1,"66,416"
,,Long Beach,6,0,3,0,0,0,2,2,3,2,"470,445"
,,Los Angeles3,136,63,74,0,0,10,45,78,89,70,"4,029,741"
,,Los Banos,0,0,1,0,0,0,1,0,0,0,"39,651"
,,Lynwood,1,0,0,0,0,0,1,0,0,0,"71,315"
,,Malibu,1,0,0,0,0,0,0,0,0,1,"12,911"
,,Marysville,1,0,0,0,0,0,0,1,0,0,"12,459"
,,Menifee,2,0,0,0,0,0,2,0,0,0,"92,540"
,,Modesto,2,1,2,0,2,0,1,1,4,1,"215,822"
,,Monterey,2,0,0,0,0,0,0,1,1,0,"28,744"
,,Moreno Valley,1,0,0,0,0,0,1,0,0,0,"209,145"
,,Morro Bay,0,0,1,0,0,0,,1,0,0,"10,692"
,,Mountain View,1,0,0,0,0,0,0,0,1,0,"82,518"
,,Newark,1,0,0,0,0,0,0,0,1,0,"48,276"
,,Newport Beach,1,0,2,0,0,1,3,1,0,0,"86,276"
,,Norwalk,3,0,0,0,0,0,0,0,2,1,"106,158"
,,Oakland,3,5,5,1,0,1,3,3,5,4,"430,230"
,,Oceanside,2,0,0,0,0,0,1,0,0,1,"177,464"
,,Orange,2,0,0,0,0,0,1,1,0,0,"141,108"
,,Oroville,1,0,0,0,0,0,0,0,1,0,"19,186"
,,Oxnard,0,1,1,0,0,0,0,1,1,0,"211,737"
,,Pacifica,0,1,2,0,0,0,0,0,2,1,"39,339"
,,Palmdale,1,0,0,0,0,0,0,1,0,0,"158,177"
,,Palm Springs,1,0,3,0,0,0,0,1,1,2,"48,644"
,,Palo Alto,2,2,1,0,0,0,2,3,0,0,"67,560"
,,Paramount,1,0,1,0,0,0,0,1,1,0,"55,023"
,,Parlier,1,0,0,0,0,0,0,1,0,0,"15,356"
,,Pasadena,1,2,0,0,0,0,1,0,1,1,"143,448"
,,Perris,1,0,0,0,0,0,1,0,0,0,"79,238"
,,Petaluma,1,0,0,0,0,0,0,0,1,0,"61,289"
,,Pinole,1,0,0,0,0,0,0,1,0,0,"19,509"
,,Pittsburg,1,0,0,0,0,0,0,0,1,0,"73,462"
,,Placentia,3,1,1,0,0,0,0,2,1,2,"52,324"
,,Pleasanton,1,0,0,0,0,0,0,1,0,0,"84,992"
,,Poway,0,1,0,0,0,0,0,0,0,1,"50,346"
,,Rancho Cucamonga,2,0,0,0,0,0,0,0,0,2,"179,114"
,,Rancho Santa Margarita,1,0,0,0,0,0,0,1,0,0,"48,918"
,,Red Bluff,2,0,0,0,0,0,0,1,0,1,"14,315"
,,Redding,9,0,0,0,0,0,1,3,3,2,"92,068"
,,Redlands,1,0,0,0,0,0,0,0,1,0,"71,954"
,,Redwood City,1,1,0,0,0,0,2,0,0,0,"88,161"
