,State,Year,Population,GDP,Incidents,Temperature,Marriage_Rate,Education_Rate,Is_Covid
226,North Dakota,2010,672591,37917.2,8,40.9,6.5,32.5,0
227,Ohio,2010,11536504,523979.4,247,51.7,5.8,24.6,0
228,Oklahoma,2010,3751351,160564.2,49,60.3,7.2,22.9,0
229,Oregon,2010,3831074,169234.0,134,47.1,6.5,28.8,0
230,Pennsylvania,2010,12702379,627726.3,57,50.1,5.3,27.1,0
231,Rhode Island,2010,1052567,51332.8,20,52.0,5.8,30.2,0
232,South Carolina,2010,4625364,172131.0,109,62.6,7.4,24.5,0
233,South Dakota,2010,814180,40369.6,51,45.1,7.3,26.3,0
234,Tennessee,2010,6346105,268449.8,147,57.9,8.8,23.1,0
235,Texas,2010,25145561,1309962.4,174,65.1,7.1,25.9,0
236,Utah,2010,2763885,123902.2,63,48.3,8.5,29.3,0
237,Vermont,2010,625741,28403.7,17,44.9,9.3,34.2,0
238,Virginia,2010,8001024,441242.4,175,55.9,6.8,33.6,0
239,Washington,2010,6724540,380989.5,232,47.1,6.0,31.1,0
240,West Virginia,2010,1852994,69153.5,33,52.0,6.7,26.3,0
241,Wisconsin,2010,5686986,266830.8,93,45.5,5.3,17.5,0
242,Wyoming,2010,563626,40056.6,2,42.0,7.6,24.1,0
243,Alabama,2011,4799642,187605.8,83,63.8,8.4,26.4,0
244,Alaska,2011,722349,55280.3,8,27.0,7.8,22.3,0
245,Arizona,2011,6473416,266101.5,192,60.3,5.7,20.3,0
246,Arkansas,2011,2941038,107932.5,11,61.8,10.4,26.6,0
247,California,2011,37636311,2063827.5,1040,57.4,5.8,30.3,0
248,Colorado,2011,5121900,271700.6,186,45.4,7.0,36.7,0
249,Connecticut,2011,3588632,238542.4,140,50.9,5.5,36.2,0
250,Delaware,2011,907590,62919.3,15,57.4,5.2,28.8,0
251,Florida,2011,19055607,772021.3,125,71.7,7.4,25.8,0
252,Georgia,2011,9803630,441626.7,17,64.6,6.6,27.6,0
253,Idaho,2011,1584272,58226.2,33,42.4,8.6,25.8,0
254,Illinois,2011,12867783,711283.4,69,53.1,5.6,25.2,0
