,State,Year,GDP
289,North Dakota,2003,27870.4
290,Ohio,2003,519939.4
291,Oklahoma,2003,133417.2
292,Oregon,2003,144802.8
293,Pennsylvania,2003,568242.4
294,Rhode Island,2003,48571.1
295,South Carolina,2003,161269.3
296,South Dakota,2003,32979.1
297,Tennessee,2003,248993.8
298,Texas,2003,1050609.4
299,Utah,2003,97017.3
300,Vermont,2003,25464.9
301,Virginia,2003,377723.8
302,Washington,2003,312556.4
303,West Virginia,2003,63145.5
304,Wisconsin,2003,247766.1
305,Wyoming,2003,30673.2
306,Alabama,2004,176625.0
307,Alaska,2004,44055.0
308,Arizona,2004,244317.3
309,Arkansas,2004,101733.6
310,California,2004,1850904.5
311,Colorado,2004,240747.6
312,Connecticut,2004,233426.5
313,Delaware,2004,60069.9
314,District of Columbia,2004,97463.5
315,Florida,2004,769140.5
316,Georgia,2004,428555.2
317,Hawaii,2004,63318.1
318,Idaho,2004,51815.1
319,Illinois,2004,676805.9
320,Indiana,2004,287655.9
321,Iowa,2004,139978.1
322,Kansas,2004,119391.6
323,Kentucky,2004,164650.2
324,Louisiana,2004,232712.8
325,Maine,2004,54256.0
326,Maryland,2004,290284.6
327,Massachusetts,2004,379086.1
328,Michigan,2004,448888.3
329,Minnesota,2004,275560.1
330,Mississippi,2004,94482.6
331,Missouri,2004,259741.4
332,Montana,2004,35528.6
333,Nebraska,2004,85987.1
334,Nevada,2004,127325.6
335,New Hampshire,2004,64408.6
336,New Jersey,2004,498245.2
337,New Mexico,2004,83038.7
338,New York,2004,1144125.1
339,North Carolina,2004,389210.1
340,North Dakota,2004,28284.1
341,Ohio,2004,534064.6
342,Oklahoma,2004,138096.8
343,Oregon,2004,152001.1
344,Pennsylvania,2004,584328.3
345,Rhode Island,2004,50513.8
346,South Carolina,2004,164083.4
347,South Dakota,2004,34269.6
348,Tennessee,2004,260553.5
349,Texas,2004,1109477.0
350,Utah,2004,102846.7
351,Vermont,2004,26855.2
352,Virginia,2004,392941.3
353,Washington,2004,319848.9
354,West Virginia,2004,64159.8
