,State,Year,Incidents
354,Connecticut,2013,145
355,Delaware,2013,12
356,District Of Columbia,2013,72
357,Florida,2013,76
358,Georgia,2013,57
359,Idaho,2013,32
360,Illinois,2013,105
361,Indiana,2013,75
362,Iowa,2013,10
363,Kansas,2013,64
364,Kentucky,2013,171
365,Louisiana,2013,22
366,Maine,2013,25
367,Maryland,2013,51
368,Massachusetts,2013,350
369,Michigan,2013,329
370,Minnesota,2013,144
371,Mississippi,2013,4
372,Missouri,2013,102
373,Montana,2013,31
374,Nebraska,2013,36
375,Nevada,2013,73
376,New Hampshire,2013,21
377,New Jersey,2013,414
378,New Mexico,2013,12
379,New York,2013,615
380,North Carolina,2013,118
381,North Dakota,2013,51
382,Ohio,2013,370
383,Oklahoma,2013,41
384,Oregon,2013,66
385,Pennsylvania,2013,64
386,Rhode Island,2013,7
387,South Carolina,2013,51
388,South Dakota,2013,13
389,Tennessee,2013,196
390,Texas,2013,132
391,Utah,2013,74
392,Vermont,2013,12
393,Virginia,2013,119
394,Washington,2013,291
395,West Virginia,2013,56
396,Wisconsin,2013,50
397,Wyoming,2013,1
398,Alabama,2014,9
399,Alaska,2014,6
400,Arizona,2014,265
401,Arkansas,2014,8
402,California,2014,759
403,Colorado,2014,96
404,Connecticut,2014,123
405,Delaware,2014,13
406,District Of Columbia,2014,70
407,Florida,2014,65
408,Georgia,2014,41
409,Idaho,2014,25
410,Illinois,2014,109
411,Indiana,2014,50
412,Iowa,2014,11
413,Kansas,2014,73
414,Kentucky,2014,163
415,Louisiana,2014,9
416,Maine,2014,28
417,Maryland,2014,16
418,Massachusetts,2014,375
419,Michigan,2014,311
420,Minnesota,2014,98
421,Mississippi,2014,1
422,Missouri,2014,76
423,Montana,2014,30
424,Nebraska,2014,47
425,Nevada,2014,24
426,New Hampshire,2014,14
427,New Jersey,2014,336
428,New Mexico,2014,13
429,New York,2014,545
430,North Carolina,2014,140
431,North Dakota,2014,40
432,Ohio,2014,403
433,Oklahoma,2014,33
434,Oregon,2014,26
435,Pennsylvania,2014,50
